num_train,deg,trial,seed,h,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,24,1167,0.01,spo,1000,8.493866,0.345798,0.335633,0.341097,8493.866071,8493.005654,8464.595668,8465.075259,8464.134777
100,1,25,1168,0.01,gbm,1000,8.528167,0.557724,0.559875,0.538788,8528.166921,8528.349392,8480.867109,8483.720651,8482.645877
100,1,25,1168,0.01,lasso,1000,8.481997,0.013326,0.021714,0.000740,8481.997267,8482.708633,8480.867109,8483.720651,8482.645877
100,1,25,1168,0.01,spo,1000,8.503334,0.264908,0.270560,0.249533,8503.333604,8503.812913,8480.867109,8483.720651,8482.645877
100,1,26,1169,0.01,gbm,1000,8.569982,0.505614,0.500625,0.488227,8569.981660,8569.556225,8526.868591,8528.884072,8527.920600
100,1,26,1169,0.01,lasso,1000,8.527870,0.011744,0.012814,0.000477,8527.869969,8527.961244,8526.868591,8528.884072,8527.920600
100,1,26,1169,0.01,spo,1000,8.541709,0.174041,0.174918,0.162561,8541.708877,8541.783635,8526.868591,8528.884072,8527.920600
100,1,27,1170,0.01,gbm,1000,8.496693,0.445959,0.435128,0.436815,8496.693143,8495.776929,8458.969568,8459.601346,8458.827506
100,1,27,1170,0.01,lasso,1000,8.459793,0.009733,-0.001171,0.000509,8459.792839,8458.870542,8458.969568,8459.601346,8458.827506
100,1,27,1170,0.01,spo,1000,8.482628,0.279685,0.268818,0.270502,8482.628076,8481.708799,8458.969568,8459.601346,8458.827506
100,1,28,1171,0.01,gbm,1000,8.461959,0.755957,0.765945,0.754253,8461.959438,8462.798350,8398.470653,8400.061597,8399.445259
100,1,28,1171,0.01,lasso,1000,8.399281,0.009646,0.014508,0.002903,8399.280748,8399.689079,8398.470653,8400.061597,8399.445259
100,1,28,1171,0.01,spo,1000,8.427438,0.344913,0.347390,0.335746,8427.438072,8427.646101,8398.470653,8400.061597,8399.445259
100,1,29,1172,0.01,gbm,1000,8.567293,0.738688,0.727587,0.723470,8567.293339,8566.349249,8504.471819,8505.743200,8504.819435
100,1,29,1172,0.01,lasso,1000,8.505616,0.013453,0.004854,0.000767,8505.615958,8504.884650,8504.471819,8505.743200,8504.819435
100,1,29,1172,0.01,spo,1000,8.530783,0.309378,0.298669,0.294569,8530.782786,8529.872017,8504.471819,8505.743200,8504.819435
100,1,30,1173,0.01,gbm,1000,8.526014,0.630703,0.631941,0.616791,8526.013601,8526.118516,8472.576846,8474.723793,8473.852548
100,1,30,1173,0.01,lasso,1000,8.473919,0.015846,0.015273,0.000216,8473.919396,8473.870829,8472.576846,8474.723793,8473.852548
100,1,30,1173,0.01,spo,1000,8.497608,0.295441,0.296524,0.281425,8497.608310,8497.700054,8472.576846,8474.723793,8473.852548
100,1,31,1174,0.01,gbm,1000,8.412927,0.533826,0.528964,0.525287,8412.926730,8412.519875,8368.254789,8369.302072,8368.560926
100,1,31,1174,0.01,lasso,1000,8.369057,0.009583,0.004305,0.000647,8369.056715,8368.615055,8368.254789,8369.302072,8368.560926
100,1,31,1174,0.01,spo,1000,8.389469,0.253511,0.249955,0.246288,8389.469210,8389.171683,8368.254789,8369.302072,8368.560926
100,1,32,1175,0.01,gbm,1000,8.464567,0.500266,0.488299,0.474219,8464.566920,8463.559031,8422.432356,8424.192675,8423.612633
100,1,32,1175,0.01,lasso,1000,8.423396,0.011440,0.014575,0.000561,8423.395870,8423.659914,8422.432356,8424.192675,8423.612633
100,1,32,1175,0.01,spo,1000,8.458259,0.425372,0.422430,0.408359,8458.259027,8458.011249,8422.432356,8424.192675,8423.612633
100,1,33,1176,0.01,gbm,1000,8.433241,0.600524,0.590323,0.583762,8433.240924,8432.385796,8382.899582,8384.276393,8383.446401
100,1,33,1176,0.01,lasso,1000,8.383667,0.009155,0.007060,0.000537,8383.667047,8383.491444,8382.899582,8384.276393,8383.446401
100,1,33,1176,0.01,spo,1000,8.419330,0.434584,0.427471,0.420920,8419.330356,8418.734026,8382.899582,8384.276393,8383.446401
100,1,34,1177,0.01,gbm,1000,8.501347,0.605770,0.612301,0.599608,8501.347474,8501.899338,8450.158936,8452.118369,8451.225128
100,1,34,1177,0.01,lasso,1000,8.451136,0.011564,0.012886,0.000269,8451.136082,8451.247822,8450.158936,8452.118369,8451.225128
100,1,34,1177,0.01,spo,1000,8.464657,0.171568,0.177472,0.164834,8464.656693,8465.155614,8450.158936,8452.118369,8451.225128
100,1,35,1178,0.01,gbm,1000,8.406802,0.482969,0.488256,0.472870,8406.802036,8407.244366,8366.394939,8368.509272,8367.676126
100,1,35,1178,0.01,lasso,1000,8.368497,0.025127,0.025182,0.009867,8368.497127,8368.501726,8366.394939,8368.509272,8367.676126
100,1,35,1178,0.01,spo,1000,8.396846,0.363972,0.360974,0.345607,8396.846274,8396.595410,8366.394939,8368.509272,8367.676126
100,1,36,1179,0.01,gbm,1000,8.486947,0.479969,0.481513,0.474915,8486.947324,8487.077774,8446.407205,8447.880943,8446.961884
100,1,36,1179,0.01,lasso,1000,8.447235,0.009795,0.007037,0.000470,8447.234569,8447.001611,8446.407205,8447.880943,8446.961884
100,1,36,1179,0.01,spo,1000,8.467744,0.252611,0.245887,0.239305,8467.743794,8467.175862,8446.407205,8447.880943,8446.961884
100,1,37,1180,0.01,gbm,1000,8.448808,0.580226,0.583869,0.576335,8448.808487,8449.114444,8400.069085,8401.555205,8400.698258
100,1,37,1180,0.01,lasso,1000,8.401158,0.012959,0.008542,0.001052,8401.157642,8400.786653,8400.069085,8401.555205,8400.698258
100,1,37,1180,0.01,spo,1000,8.421741,0.257992,0.251251,0.243742,8421.740562,8421.174319,8400.069085,8401.555205,8400.698258
100,1,38,1181,0.01,gbm,1000,8.539418,0.619709,0.620349,0.612746,8539.418158,8539.472461,8486.824516,8488.521210,8487.465856
100,1,38,1181,0.01,lasso,1000,8.487641,0.009625,0.008026,0.000469,8487.641353,8487.505668,8486.824516,8488.521210,8487.465856
100,1,38,1181,0.01,spo,1000,8.503706,0.198910,0.197653,0.190081,8503.705634,8503.598949,8486.824516,8488.521210,8487.465856
100,1,39,1182,0.01,gbm,1000,8.430957,0.522260,0.508521,0.513900,8430.957386,8429.805125,8387.154652,8387.558102,8386.705817
100,1,39,1182,0.01,lasso,1000,8.387920,0.009128,-0.004933,0.000418,8387.920229,8386.740891,8387.154652,8387.558102,8386.705817
100,1,39,1182,0.01,spo,1000,8.412156,0.298090,0.284330,0.289697,8412.155902,8411.001837,8387.154652,8387.558102,8386.705817
100,1,40,1183,0.01,gbm,1000,8.523417,0.559267,0.557085,0.554767,8523.417156,8523.232186,8476.013605,8477.023167,8476.208997
100,1,40,1183,0.01,lasso,1000,8.476940,0.010925,0.002988,0.000682,8476.939640,8476.266831,8476.013605,8477.023167,8476.208997
100,1,40,1183,0.01,spo,1000,8.500662,0.290797,0.281817,0.279505,8500.661604,8499.900415,8476.013605,8477.023167,8476.208997
100,1,41,1184,0.01,gbm,1000,8.549247,0.715795,0.710064,0.704264,8549.246696,8548.760247,8488.486532,8490.151139,8488.975464
100,1,41,1184,0.01,lasso,1000,8.489617,0.013314,0.006362,0.000602,8489.616669,8489.026549,8488.486532,8490.151139,8488.975464
100,1,41,1184,0.01,spo,1000,8.515131,0.313885,0.310157,0.304379,8515.130615,8514.814134,8488.486532,8490.151139,8488.975464
100,1,42,1185,0.01,gbm,1000,8.557614,0.437883,0.451248,0.427465,8557.613667,8558.752371,8520.304686,8523.179851,8522.322440
100,1,42,1185,0.01,lasso,1000,8.521232,0.010889,0.024239,0.000557,8521.232451,8522.369910,8520.304686,8523.179851,8522.322440
100,1,42,1185,0.01,spo,1000,8.541869,0.253092,0.263228,0.239490,8541.868879,8542.732537,8520.304686,8523.179851,8522.322440
100,1,43,1186,0.01,gbm,1000,8.411787,0.516981,0.523595,0.509049,8411.786610,8412.340047,8368.522903,8370.506080,8369.733961
100,1,43,1186,0.01,lasso,1000,8.369536,0.012110,0.015672,0.001201,8369.536368,8369.834442,8368.522903,8370.506080,8369.733961
100,1,43,1186,0.01,spo,1000,8.407393,0.464478,0.474027,0.459489,8407.392884,8408.191967,8368.522903,8370.506080,8369.733961
100,1,44,1187,0.01,gbm,1000,8.498318,0.489865,0.490770,0.480715,8498.317779,8498.394273,8456.890412,8458.488032,8457.736630
