num_train,deg,trial,seed,solver,num_contexts,loss_Y,regret_Y,regret_Y_lowvar,regret_fstar,sum_Y_zmethod,sum_fstar_zmethod,sum_Y_zY,sum_fstar_zY,sum_fstar_zfstar
100,1,37,1180,lasso,1000,8.506836,17.061595,17.355824,1.517961,8506.836070,8528.217565,7266.974310,8842.645314,8400.698258
100,1,37,1180,spo,1000,8.599152,18.331951,18.504513,2.511628,8599.152469,8611.692526,7266.974310,8842.645314,8400.698258
100,1,38,1181,gbm,1000,8.744757,18.907816,18.603873,2.768058,8744.756516,8722.403852,7354.231877,8940.095436,8487.465856
100,1,38,1181,lasso,1000,8.561501,16.415974,16.557429,0.994852,8561.500664,8571.903576,7354.231877,8940.095436,8487.465856
100,1,38,1181,spo,1000,8.689094,18.150934,18.436568,2.623091,8689.093652,8710.099837,7354.231877,8940.095436,8487.465856
100,1,39,1182,gbm,1000,8.723849,19.365512,19.230592,3.902391,8723.848517,8713.987891,7308.516823,8823.896806,8386.705817
100,1,39,1182,lasso,1000,8.544816,16.915873,16.182158,1.245862,8544.816257,8491.192577,7308.516823,8823.896806,8386.705817
100,1,39,1182,spo,1000,8.676572,18.718644,18.160342,2.969732,8676.572081,8635.768501,7308.516823,8823.896806,8386.705817
100,1,40,1183,gbm,1000,8.836746,20.702697,20.224124,3.840163,8836.745905,8801.709221,7321.084084,8897.671371,8476.208997
100,1,40,1183,lasso,1000,8.587492,17.298092,17.575743,1.552699,8587.491948,8607.819030,7321.084084,8897.671371,8476.208997
100,1,40,1183,spo,1000,8.786866,20.021373,19.864322,3.529394,8786.865631,8775.367801,7321.084084,8897.671371,8476.208997
100,1,41,1184,gbm,1000,8.715908,19.007628,18.778759,2.475807,8715.908139,8699.146146,7323.823082,8898.289201,8488.975464
100,1,41,1184,lasso,1000,8.585166,17.222468,17.196751,1.110938,8585.166176,8583.282731,7323.823082,8898.289201,8488.975464
100,1,41,1184,spo,1000,8.632809,17.872983,18.227220,1.999970,8632.808743,8658.752402,7323.823082,8898.289201,8488.975464
100,1,42,1185,gbm,1000,8.717974,18.860202,19.188821,2.578574,8717.973772,8742.076820,7334.644946,8929.710710,8522.322440
100,1,42,1185,lasso,1000,8.589060,17.102604,17.455883,1.087140,8589.060202,8614.971980,7334.644946,8929.710710,8522.322440
100,1,42,1185,spo,1000,8.566073,16.789195,17.673798,1.274686,8566.072781,8630.955308,7334.644946,8929.710710,8522.322440
100,1,43,1186,gbm,1000,8.787077,20.722242,20.818534,5.070076,8787.076974,8794.085868,7278.755649,8843.038607,8369.733961
100,1,43,1186,lasso,1000,8.462067,16.257062,16.680490,1.471418,8462.067480,8492.887732,7278.755649,8843.038607,8369.733961
100,1,43,1186,spo,1000,8.593944,18.068863,18.085085,2.692927,8593.944015,8595.124796,7278.755649,8843.038607,8369.733961
100,1,44,1187,gbm,1000,8.778083,20.138836,20.063264,3.722329,8778.083221,8772.561427,7306.615822,8891.562184,8457.736630
100,1,44,1187,lasso,1000,8.544160,16.937313,16.835491,0.933865,8544.160214,8536.720440,7306.615822,8891.562184,8457.736630
100,1,44,1187,spo,1000,8.680677,18.805708,18.587867,2.447738,8680.676668,8664.759858,7306.615822,8891.562184,8457.736630
100,1,45,1188,gbm,1000,8.770133,19.564003,19.460819,4.628524,8770.133204,8762.564557,7335.095015,8850.300884,8374.928929
100,1,45,1188,lasso,1000,8.468330,15.449497,15.412481,1.082830,8468.330289,8465.615133,7335.095015,8850.300884,8374.928929
100,1,45,1188,spo,1000,8.694772,18.536593,17.904473,3.265415,8694.771741,8648.405147,7335.095015,8850.300884,8374.928929
100,1,46,1189,gbm,1000,8.709008,18.889595,18.978428,3.251642,8709.008381,8715.515646,7325.290664,8881.759574,8441.043162
